appid,cc,currency,initial,final,discount_pct,is_free
1465460,us,USD,2499,2499,0,0
1515210,us,USD,599,599,0,0
1536610,us,,0,0,0,1
1548850,us,USD,3999,2599,35,0
1556790,us,USD,2999,599,80,0
1850740,us,USD,1499,1499,0,0
1954200,us,USD,3999,3999,0,0
2005010,us,USD,2199,2199,0,0
2027330,us,USD,899,899,0,0
2365810,us,USD,599,599,0,0
2381590,us,,0,0,0,1
2427700,us,USD,1499,1499,0,0
2646460,us,USD,2999,2999,0,0
2780980,us,USD,999,999,0,0
320,us,,0,0,0,1
340,us,,0,0,0,1
2600,us,USD,1999,1999,0,0
6020,us,USD,999,999,0,0
6860,us,USD,999,999,0,0
9420,us,USD,1299,1299,0,0
24740,us,,0,0,0,1
48720,us,USD,999,999,0,0
108800,us,USD,2999,2999,0,0
208480,us,,0,0,0,1
210770,us,USD,1499,1499,0,0
214510,us,USD,1999,1999,0,0
216150,us,,0,0,0,1
234650,us,USD,1499,1499,0,0
234670,us,USD,1999,999,50,0
238370,us,USD,1499,1499,0,0
244160,us,USD,3499,349,90,0
245620,us,USD,1999,1999,0,0
249050,us,USD,1199,1199,0,0
278080,us,USD,4999,4999,0,0
311310,us,USD,1999,1999,0,0
320240,us,USD,5999,5999,0,0
339340,us,USD,1999,1999,0,0
343780,us,USD,699,699,0,0
350640,us,USD,2999,299,90,0
362930,us,USD,499,499,0,0
386070,us,USD,2999,2999,0,0
415200,us,USD,1999,1999,0,0
445220,us,USD,2499,2499,0,0
469600,us,USD,2499,2499,0,0
544750,us,USD,5999,599,90,0
555220,us,USD,1199,1199,0,0
601840,us,USD,1999,1999,0,0
630100,us,,0,0,0,1
673880,us,USD,2999,2999,0,0
690640,us,USD,2999,2999,0,0
712100,us,USD,3999,799,80,0
737800,us,,0,0,0,1
743450,us,USD,1199,1199,0,0
845070,us,,0,0,0,1
851100,us,USD,1799,1799,0,0
858210,us,USD,1799,1799,0,0
882790,us,USD,2109,2109,0,0
914620,us,USD,1099,1099,0,0
934700,us,USD,4999,499,90,0
961200,us,,0,0,0,1
1016800,us,USD,2999,2999,0,0
1017900,us,USD,1999,1999,0,0
1093910,us,USD,399,399,0,0
1102130,us,USD,599,149,75,0
1139980,us,USD,1799,1799,0,0
1162520,us,USD,1399,1399,0,0
1164940,us,USD,2999,2999,0,0
1170880,us,,0,0,0,1
1180660,us,,0,0,0,1
1190970,us,USD,3999,3999,0,0
1229380,us,USD,999,999,0,0
1318690,us,USD,999,999,0,0
1353230,us,USD,3999,3999,0,0
1361510,us,USD,2499,2499,0,0
1390350,us,USD,999,999,0,0
1399780,us,,0,0,0,1
1504570,us,USD,1999,599,70,0
1522820,us,USD,2999,2999,0,0
1559390,us,USD,2260,2260,0,0
1629520,us,USD,1499,1499,0,0
1672970,us,USD,1999,1999,0,0
1782120,us,USD,1999,1999,0,0
1785150,us,USD,999,999,0,0
1810580,us,,0,0,0,1
1895880,us,USD,5999,5999,0,0
1971650,us,USD,5999,5999,0,0
2103140,us,USD,1599,1599,0,0
2114740,us,USD,2999,2999,0,0
2181930,us,USD,299,65,78,0
2437170,us,,0,0,0,1
2537590,us,USD,6999,6999,0,0
2677660,us,USD,6999,6999,0,0
2725260,us,USD,2499,2499,0,0
3244220,us,USD,499,499,0,0
4920,us,USD,499,499,0,0
10150,us,USD,1999,1999,0,0
15620,us,USD,4999,4999,0,0
17300,us,USD,2999,2999,0,0
21000,us,USD,1999,1999,0,0
21100,us,USD,1999,1999,0,0
39000,us,,0,0,0,1
40100,us,USD,1299,1299,0,0
48240,us,USD,1999,1999,0,0
50620,us,,0,0,0,1
55100,us,USD,1999,199,90,0
56437,us,,0,0,0,1
57690,us,USD,1499,1499,0,0
102500,us,,0,0,0,1
204340,us,USD,999,999,0,0
206190,us,USD,999,999,0,0
211400,us,USD,1499,1499,0,0
221260,us,USD,1499,1499,0,0
224600,us,,0,0,0,1
226840,us,USD,2999,2999,0,0
252530,us,USD,2999,2999,0,0
253250,us,USD,1999,1999,0,0
256290,us,USD,1499,1499,0,0
280160,us,USD,1999,1999,0,0
294860,us,USD,1999,499,75,0
297130,us,USD,1499,1499,0,0
300380,us,USD,1999,299,85,0
314650,us,USD,2999,2999,0,0
327030,us,USD,2999,2999,0,0
339610,us,,0,0,0,1
362490,us,USD,1499,1499,0,0
362960,us,USD,2999,2999,0,0
375230,us,,0,0,0,1
382310,us,USD,2999,2999,0,0
399810,us,USD,1999,1999,0,0
418030,us,USD,1399,1399,0,0
420110,us,USD,999,999,0,0
424030,us,USD,2999,2999,0,0
515180,us,USD,1499,1499,0,0
528230,us,USD,1999,1999,0,0
589780,us,USD,1499,1499,0,0
593600,us,USD,1999,859,57,0
607080,us,USD,5999,5999,0,0
700600,us,USD,3999,3999,0,0
710920,us,USD,2999,2999,0,0
718670,us,USD,1999,1999,0,0
732690,us,USD,2999,2999,0,0
784080,us,USD,2999,2999,0,0
813630,us,USD,1999,399,80,0
847370,us,USD,1999,1999,0,0
872670,us,USD,1999,1999,0,0
872790,us,,0,0,0,1
911400,us,USD,3999,3999,0,0
915320,us,,0,0,0,1
965200,us,,0,0,0,1
1063660,us,USD,1999,599,70,0
1084160,us,USD,4499,4499,0,0
1121910,us,,0,0,0,1
1129190,us,,0,0,0,1
1170950,us,USD,3999,3999,0,0
1205450,us,USD,1499,1499,0,0
1213740,us,USD,1599,1599,0,0
1238060,us,USD,1999,1999,0,0
1244090,us,USD,3499,3499,0,0
1283410,us,USD,2499,299,88,0
1338770,us,USD,3999,399,90,0
1488200,us,USD,1999,699,65,0
1563180,us,USD,1999,1999,0,0
1566690,us,USD,2499,2499,0,0
1571440,us,USD,499,499,0,0
