appid,currency,initial,final,discount_pct,is_free
400,USD,999,999,0,0
620,USD,999,999,0,0
374320,USD,5999,5999,0,0
413150,USD,1499,1499,0,0
546560,USD,5999,5999,0,0
623080,USD,999,999,0,0
1055540,USD,799,799,0,0
1089980,USD,1499,1499,0,0
1118200,USD,999,999,0,0
1129190,USD,0,0,0,1
1145360,USD,2499,2499,0,0
1307580,USD,1999,1999,0,0
1405500,USD,1499,1499,0,0
1567800,USD,1999,1999,0,0
1586800,USD,1999,1999,0,0
1623730,USD,2999,2099,30,0
1717770,USD,999,999,0,0
1740300,USD,1999,1999,0,0
1794680,USD,499,499,0,0
1864950,USD,2499,2499,0,0
1969080,USD,199,199,0,0
2070550,USD,399,399,0,0
2073910,USD,999,999,0,0
2124380,USD,1499,1499,0,0
2179170,USD,599,599,0,0
2231450,USD,1999,1999,0,0
2246340,USD,6999,6999,0,0
2694490,USD,2999,2999,0,0
2714620,USD,999,999,0,0
2840190,USD,1999,1999,0,0
2869860,USD,1499,1499,0,0
3164500,USD,1999,1999,0,0
3373660,USD,999,999,0,0
3376990,USD,499,499,0,0
