appid,currency,initial,final,discount_pct,is_free
745920,USD,4499,4499,0,0
787480,USD,2999,2999,0,0
805550,USD,3999,3999,0,0
823500,USD,2999,2999,0,0
824270,USD,999,999,0,0
884660,USD,0,0,0,1
895400,USD,2499,2499,0,0
992300,USD,2499,2499,0,0
1088850,USD,5999,899,85,0
1119730,USD,2499,2499,0,0
1128810,USD,0,0,0,1
1134570,USD,0,0,0,1
1135690,USD,1999,1999,0,0
1178830,USD,1999,1999,0,0
1184370,USD,1999,499,75,0
1210320,USD,1999,1999,0,0
1225330,USD,0,0,0,1
1241100,USD,0,0,0,1
1244460,USD,5999,5999,0,0
1259970,USD,0,0,0,1
1296830,USD,1799,1799,0,0
1369630,USD,2499,2499,0,0
1462040,USD,3999,3999,0,0
1544020,USD,5999,5999,0,0
1557740,USD,599,599,0,0
1562700,USD,1499,1499,0,0
1644960,USD,0,0,0,1
1850570,USD,3999,3999,0,0
1971870,USD,4999,4999,0,0
2021910,USD,0,0,0,1
2321470,USD,1299,1299,0,0
2420510,USD,0,0,0,1
2551020,USD,0,0,0,1
3070070,USD,1299,1299,0,0
380,USD,0,0,0,1
4700,USD,2499,499,80,0
7670,USD,1999,499,75,0
8980,USD,2999,2999,0,0
32370,USD,999,999,0,0
41700,USD,1999,1999,0,0
42910,USD,999,999,0,0
47890,USD,1999,1999,0,0
55150,USD,3999,3999,0,0
57300,USD,1999,1999,0,0
105450,USD,0,0,0,1
110800,USD,1999,599,70,0
202990,USD,3999,3999,0,0
209160,USD,5999,5999,0,0
225840,USD,0,0,0,1
237930,USD,1999,1999,0,0
257510,USD,2999,2999,0,0
261030,USD,1499,1499,0,0
268050,USD,1999,1999,0,0
274940,USD,1999,1999,0,0
280790,USD,2499,2499,0,0
299740,USD,2999,2999,0,0
371660,USD,2999,2999,0,0
383120,USD,1999,1999,0,0
393420,USD,2499,2499,0,0
394510,USD,1999,1999,0,0
413410,USD,1999,1999,0,0
417860,USD,0,0,0,1
427410,USD,3499,3499,0,0
427730,USD,999,999,0,0
434570,USD,99,99,0,0
460920,USD,2999,2999,0,0
517630,USD,0,0,0,1
535930,USD,2999,2999,0,0
555570,USD,0,0,0,1
597170,USD,1999,699,65,0
637090,USD,3999,3999,0,0
638230,USD,1499,374,75,0
640820,USD,1999,1999,0,0
641990,USD,1999,1999,0,0
740130,USD,4999,4999,0,0
844870,USD,0,0,0,1
939400,USD,199,199,0,0
939960,USD,3999,3999,0,0
942970,USD,699,699,0,0
955050,USD,799,799,0,0
997070,USD,0,0,0,1
1030830,USD,2999,2999,0,0
1062090,USD,3499,3499,0,0
1100600,USD,0,0,0,1
1144400,USD,3499,3499,0,0
1213210,USD,1999,1999,0,0
1235140,USD,1999,1999,0,0
1254120,USD,0,0,0,1
1256670,USD,2999,2999,0,0
1268750,USD,2999,2999,0,0
1282730,USD,1499,1499,0,0
1336490,USD,2999,899,70,0
1359090,USD,999,999,0,0
1366800,USD,199,199,0,0
1449690,USD,4999,4999,0,0
1483870,USD,499,499,0,0
1657630,USD,2999,2999,0,0
1677280,USD,5999,5999,0,0
1703340,USD,2499,2499,0,0
